,movieId,Title,Year,Rated,Genre,imdbRating,imdbVotes,Language,Country,Plot,Runtime
0,0,Toy Story,1995,G,"Animation, Adventure, Comedy",8.3,1084764,English,United States,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,81 min
1,1,Jumanji,1995,PG,"Adventure, Comedy, Family",7.1,384663,"English, French",United States,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.",104 min
2,2,Grumpier Old Men,1995,PG-13,"Comedy, Romance",6.7,30011,"English, Italian, German",United States,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",101 min
3,3,Waiting to Exhale,1995,R,"Comedy, Drama, Romance",6,12462,English,United States,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with men.",124 min
4,4,Father of the Bride Part II,1995,PG,"Comedy, Family, Romance",6.1,42152,English,United States,"George Banks must deal not only with his daughter's pregnancy, but also with his wife's.",106 min
5,5,Heat,1995,R,"Action, Crime, Drama",8.3,731145,"English, Spanish",United States,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,170 min
6,552,Sabrina,1954,Approved,"Comedy, Drama, Romance",7.6,71312,"English, French",United States,"A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.",113 min
7,7,Tom and Huck,1995,PG,"Adventure, Comedy, Drama",5.5,11795,English,United States,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,97 min
8,8,Sudden Death,1995,R,"Action, Crime, Thriller",5.8,37485,English,United States,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,111 min
9,9,GoldenEye,1995,PG-13,"Action, Adventure, Thriller",7.2,272864,"English, Russian, Spanish","United Kingdom, United States","When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it.",130 min
10,10,The American President,1995,PG-13,"Comedy, Drama, Romance",6.8,61125,"English, French, Spanish",United States,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway.",114 min
